Time,Input,Output
279.408,0,49.75
280.409,0,49.75
281.41,0,50
282.411,0,49.75
283.412,0,50
284.413,0,49.75
285.414,0,49.75
286.415,0,49.75
287.416,0,49.75
288.417,0,49.75
289.418,0,50
290.419,0,50
291.42,0,50
292.421,0,50
293.422,0,50
294.423,0,50
295.424,0,50
296.425,0,50
297.426,0,50
298.427,0,50
299.428,0,50
300.429,0,50
301.43,0,50
302.431,0,50
303.432,0,50
304.433,0,50
305.434,0,50.25
306.435,0,50
307.436,0,50
308.437,0,50.25
309.438,0,50.25
310.439,0,50
311.44,0,50
312.441,0,50.25
313.442,0,50.25
314.443,0,50.25
315.444,0,50.25
316.445,0,50.25
317.446,0,50.25
318.447,0,50.25
319.448,0,50.25
320.449,0,50.25
321.45,0,50.25
322.451,0,50.25
323.452,0,50.25
324.453,0,50.25
325.454,0,50.25
326.455,0,50.25
327.456,0,50.25
328.457,0,50.25
329.458,0,50.25
330.459,0,50.25
331.46,0,50.25
332.461,0,50.25
333.462,0,50.5
334.463,0,50.25
335.464,0,50.25
336.465,0,50.5
337.466,0,50.25
338.467,0,50.25
339.468,0,50.25
340.469,0,50.25
341.47,0,50.25
342.471,0,50.25
343.472,0,50.5
344.473,0,50.5
345.474,0,50.5
346.475,0,50.5
347.476,0,50.5
348.477,0,50.5
349.478,0,50.5
350.479,0,50.5
351.48,0,50.5
352.481,0,50.5
353.482,0,50.5
354.483,0,50.5
355.484,0,50.5
356.485,0,50.5
357.486,0,50.5
358.487,0,50.5
359.488,0,50.5
360.489,0,50.5
361.49,0,50.5
362.491,0,50.5
363.492,0,50.5
364.493,0,50.5
365.494,0,50.5
366.495,0,50.5
367.496,0,50.5
368.497,0,50.5
369.498,0,50.5
370.499,0,50.5
371.5,0,50.5
372.501,0,50.5
373.502,0,50.5
374.503,0,50.5
375.504,0,50.5
376.505,0,50.5
377.506,0,50.5
378.507,0,50.5
379.508,0,50.5
380.509,0,50.75
381.51,0,50.5
382.511,0,50.5
383.512,0,50.75
384.513,0,50.5
385.514,0,50.75
386.515,0,50.5
387.516,0,50.5
388.517,0,50.5
389.518,0,50.5
390.519,0,50.75
391.52,0,50.75
392.521,0,50.75
393.522,0,50.75
394.523,0,50.5
395.524,0,50.75
396.525,0,50.5
397.526,0,50.5
398.527,0,50.5
399.528,0,50.75
400.529,0,50.75
401.53,0,50.5
402.531,0,50.75
403.532,0,50.75
404.533,0,50.75
405.534,0,50.75
406.535,0,50.75
407.536,0,50.75
408.537,0,50.75
409.538,0,50.75
410.539,0,50.75
411.54,0,50.75
412.541,0,50.75
413.542,0,50.75
414.543,0,50.75
415.544,0,50.75
416.545,0,50.75
417.546,0,50.75
418.547,0,50.75
419.548,0,50.75
420.549,0,50.75
421.55,0,50.75
422.551,0,50.75
423.552,0,50.75
424.553,0,50.75
425.554,0,50.75
426.555,0,50.75
427.556,0,50.75
428.557,0,50.75
429.558,0,50.75
430.559,0,50.75
431.56,0,50.75
432.561,0,50.75
433.562,0,50.75
434.563,0,50.75
435.564,0,50.75
436.565,0,50.75
437.566,0,50.75
438.567,0,50.75
439.568,0,50.75
440.569,0,50.75
441.57,0,50.75
442.571,0,50.75
443.572,0,50.75
444.573,0,50.75
445.574,0,50.75
446.575,0,50.75
447.576,0,50.75
448.577,0,50.75
449.578,0,50.75
450.579,0,50.75
451.58,0,50.75
452.582,0,50.75
453.582,0,50.75
